은행,상품명,기본금리( %),최고금리(우대금리포함  %),이자지급방식,은행 최종제공일,가입방법,우대조건,가입 제한조건,가입대상,기타 유의사항,최고한도,,참고사이트
IBK기업은행,"IBK주거래생활금융통장
(보통예금)",0.1,0.1,반기지급,2023-12-20,영업점인터넷뱅킹스마트뱅킹,-,제한없음,실명의 개인(개인사업자 제외),1인당 1계좌 가입 가능,,,https://mybank.ibk.co.kr/uib/jsp/index.jsp
IBK기업은행,"IBK중기근로자급여파킹통장
(보통예금)",0.1,3,월지급,2023-12-20,영업점스마트뱅킹,직전월 50만원 이상 급여이체 실적 충족 시 당월에 우대금리 제공,기타제한,중소기업에서 근무하는 실명의 개인,1인당 1계좌 가입 가능하며 우대금리는 잔액 300만원까지 제공,,,https://mybank.ibk.co.kr/uib/jsp/index.jsp
KB국민은행,KB마이핏통장,0.1,1.5,분기지급,2023-12-20,영업점스마트뱅킹,"이자 지급월의 전월 말일 기준 직전 3개월 동안 아래의 입금 실적 중 한 가지를 2개월 이상 충족시 비상금 이율제공 
① 고객 지정일에 건별 50만원 이상 입금
② 급여성 문구가 포함된 건별 50만원 이상의 입금
③ 당행 급여이체 전산을 통해 입금되는 건별 50만원 이상의 급여 입금",제한없음,만 18세 이상 만 38세 이하의 실명의 개인,"1. 하나의 통장을 목적에 맞게 쪼개 쓸 수 있는 통장(기본비/생활비/비상금)
2. 우대조건 충족시 매일의 비상금박스 최종잔액(최대 2백만원)에 대해 비상금 이율 적용
3. 1인 1계좌",,,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001243#loading
DGB대구은행,DGB ESG사업자우대통장,0.01,1.01,분기지급,2023-12-20,영업점,"* 최고 우대이자율 최고 연1.00%p
- 지난3개월 동안 DGB ESG사업자우대통장을 통한 가맹점 매출대금의 입금실적 합산300만원 이상
- 지난3개월 동안 DGB ESG사업자우대통장을 통한 대구은행 기업신용카드 결제금액 합산150만원 이상
- DGB ESG 건강한 지구 만들기 실천 서약서 제출",기타제한,사업자등록증 및 고유번호증 보유한 개인 단체 법인,1계좌(개인사업자 : 주민등록번호 기준 단체 및 법인 : 사업자등록번호 기준),,,https://www.dgb.co.kr/com_ebz_fpm_main.act
DGB대구은행,비상금박스,1,1,분기지급,2023-12-20,스마트뱅킹,無,기타제한,만18세이상만35세이하개인,"1인 1계좌 
연결계좌를 제외한 비상금박스로의 이체 불가
공과금카드 결제계좌 자동이체 출금계좌 현금 인출계좌로 사용 불가
통장대출의 대출계좌로 사용 불가
예치 한도 2백만원 초과 시 이자금액은 예치 한도 산정에서 제외
연결계좌의 해지는 비상금 박스 해지 후 가능",2백만원,,https://www.dgb.co.kr/com_ebz_fpm_main.act
BNK부산은행,마!이통장,0.1,1.5,분기지급,2023-12-20,스마트뱅킹스마트뱅킹,* 이자 결산 기간 평균잔액 1백만원 이하 금액에 대해 적용,기타제한,"만 14세~만39세 이하의 개인고객
(1인 1계좌)",1. 모바일뱅킹에서만 가입,,,https://www.busanbank.co.kr/ib20/mnu/FPMDPO012001002
광주은행,Y-Like통장,0.01,0.01,분기지급,2023-12-20,영업점스마트뱅킹,해당사항없음,제한없음,만12세이상만32세이하실명의개인,"▶ 수수료우대서비스 
①광주은행 전자금융 타행이체수수료면제 
②광주은행 자동화기기 타행이체수수료 및 현금출금수수료 면제
③타행자동이체 수수료면제
④타행 자동화기기 현금출금수수료 면제",,,https://www.kjbank.com/ib20/mnu/FPMDPTR030100?INBN_GDS_NO=DEP20181015002
광주은행,365파킹통장,0.01,3,기타,2023-12-20,스마트뱅킹스마트뱅킹,"▶금액구간별 적용금리 상이
-예금잔액1원~1천만원이하 : 3.00%
-1천만원초과~1억원이하 : 2.00%
-1억원초과 : 0.01%
※이벤트기간:2023.12.04~2024.12.04
이벤트기간동안 가입한 예금잔액1원~1천만원이하금액에 대하여 가입일로부터 6개월동안 연0.50%p우대금리 제공",기타제한,가입일 직전 6개월동안 당행 입출금이 자유로운예금 계좌 보유이력 없는 만17세 이상 실명의 개인,"▶ 수수료우대서비스 
①인터넷뱅킹텔레뱅킹스마트뱅킹 당타행 이체수수료 면제
②타행자동이체 수수료면제
③광주은행 자동화기기 현금출금수수료 면제",,,https://www.kjbank.com/ib20/mnu/FPMDPTR030100?INBN_GDS_NO=DEP20231123001
전북은행,JB 언택트 통장,0.1,0.7,분기지급,2023-12-20,스마트뱅킹,마케팅동의 우대 연 0.1%,제한없음,제한없음,비대면전용상품,,,https://www.jbbank.co.kr/
전북은행,씨드모아 통장,2.95,3.65,월지급,2023-12-20,스마트뱅킹,"우대금리 연0.70%
이벤트기간(~23.12.31) 중 신규가입고객 전원에게
신규일로부터 6개월간 우대금리 제공",제한없음,전북은행 첫거래고객,"비대면전용상품
2023.12.31일까지 가입고객에게
이벤트우대이율 적용",,,https://www.jbbank.co.kr/
BNK경남은행,함께100년 연금통장,0.1,2,연지급,2023-12-20,영업점스마트뱅킹,"결산 전월까지 최근 6개월 동안 연금실적이 매월 50만원 이상(월별 합계금액 기준)인 경우: 1.90%
결산 전월까지 최근 6개월 동안 연금실적이 매월 입금되고 있으나 월별 합계금액이 1회이상 50만원 미만인 경우: 0.90%",제한없음,만 40세 이상 개인,"- 1인 1계좌 연금우대통장과 중복가입 불가
- 우대이율은 이자계산기간 동안 평잔 1백만원이하에 대해서만 적용",,,https://www.knbank.co.kr/ib20/mnu/FPMDPT020108000
