youthPolicy.rnum,youthPolicy.bizId,youthPolicy.polyBizSecd,youthPolicy.polyBizTy,youthPolicy.polyBizSjnm,youthPolicy.polyItcnCn,youthPolicy.sporCn,youthPolicy.sporScvl,youthPolicy.bizPrdCn,youthPolicy.prdRpttSecd,youthPolicy.rqutPrdCn,youthPolicy.ageInfo,youthPolicy.majrRqisCn,youthPolicy.empmSttsCn,youthPolicy.splzRlmRqisCn,youthPolicy.accrRqisCn,youthPolicy.prcpCn,youthPolicy.aditRscn,youthPolicy.prcpLmttTrgtCn,youthPolicy.rqutProcCn,youthPolicy.pstnPaprCn,youthPolicy.jdgnPresCn,youthPolicy.rqutUrla,youthPolicy.rfcSiteUrla1,youthPolicy.rfcSiteUrla2,youthPolicy.mngtMson,youthPolicy.mngtMrofCherCn,youthPolicy.cherCtpcCn,youthPolicy.cnsgNmor,youthPolicy.tintCherCn,youthPolicy.tintCherCtpcCn,youthPolicy.etct,youthPolicy.polyRlmCd
"1. 대여 희망일 최소 3일 전 예약 필수
2. 대여 기간 : 세탁기간 포함 4박5일 (주말 미포함)
※ 개인 수선 금지
※ 반납 시 정장 세탁(드라이클리닝) 영수증 지참
3. 예약 확정 후 대여가 가능하며 불가능한 상황일 경우 예약이 취소 될 수 있습니다.
(확정 시간 평일 오전 10시 ~ 17시 주말 및 공휴일 제외)
4. 대여 및 반납 가능시간 : 평일 9시 30분 ~ 17시
(점심시간 12시 ~ 13시 제외 주말 및 공휴일 제외)
5. 대여품목이 노출이 안 되거나 뜨지 않는 경우 설정 기간에 이미 대여 예약자가 있음을 의미
6. 예약일은 대여일(센터방문)을 의미
7. 네이버를 통한 사전예약이 원칙
8. 대여는 대여일과 반납일에 맞춰서 대여 및 반납 진행",-,-,신청서 1부 개인정보 동의서 1부 서약서 1부 신분증 사본 1부 등본 또는 재학증명서 1부(삼척시민 관내 대학교 재학생) 면접증빙서류 1부,-,https://han.gl/pPkmMv,https://삼척청년센터.kr/00284/00329.web?gcode=1010&idx=236&amode=view&,-,삼척시 경제과 청년지원,김숙명 팀장,033-570-3364,삼척시,-,-,033-872-1839,일자리,,,,,,,,,,,,,,,,,
11,R2023110217814,강원,지자체,청년농업인 육성지원 사업(취업농),농업 취업 및 창업을 희망하는 청년을 대상으로 현장 맞춤형 재배기술과 경영관리 노하우 습득 기회 제공,청년 취업농 농지임차비(팜쉐어) 법인취업 지원(작물재배 유통판매 등),1인 최대 300만원 지원,2023.1.~12.,2004,-,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,지역 청년농업인,-,지역 청년 외 지원불가,방문접수(농업정책과 인력육성계),#NAME?,서면평가 후 대상자 선정 발표,오프라인 신청,-,-,화천군 농업정책과,김윤서 주무관,033-440-2926,화천군,-,-,-,일자리
12,R2023110217792,강원,지자체,자기주도 내일설계 프로그램,취업에 필요한 교육·훈련 활동에 소요되는 비용을 지원함으로써 구직활동으로 인한 경제적 부담 완화 및 노동시장 진입 촉진,#NAME?,인 최대 50만원의 지원금,연중,2001,상시,만 18세 ~ 64세,제한없음,재직자,제한없음,제한없음,- 화천군일자리센터 또는 워크넷 구직등록(예정)자- 고용보험 미가입 및 사업자등록증이 없는 자 (취업) 고용보험 가입기준. 단 고용보험 미가입자이더라도 근로 계약서 등을 통하여 주15시간 이상 근로자임이 증명될 경우 취업 으로 간주 (창업) 사업자등록증이 있는 경우 창업으로 간주,-,취업 및 사업자등록이 되어 있는 자 재학생 및 휴학생생계급여 실업급여 수급중인 자 등,-,초기상담 신청서 주민등록등본 건강보험료 납부내역 확인서 등,지원대상 요건 심사 후 적격 여부 판단,오프라인 신청,https://www.ihc.go.kr,-,화천군,이영흠 주무관,033-440-2368,화천군,-,-,-,일자리
13,R2023110217804,강원,지자체,청년 취업수당 지원,관내 취업한 청년에 대해 급여외에 1인당 월 300000원씩 1년간 지원하여 청년의 안정적 지역정착에 기여,월 300000원 씩 12개월간 지원,72000천원 : 20명 * 3600천원,연중,2001,상시,만 19세 ~ 39세,제한없음,재직자,제한없음,제한없음,- 공고일로부터 3개월 이전월 이후 관내업체에 정규직으로 취업한 고성군 거주 청년- 공고일 기준 주민등록상 고성군 거주 또는 전입예정인 청년(전입 후 신청 가능),지원중 관외 전출 및 퇴사시 지원종료(연중 재취업시 잔여기간에 대해 지원),- 「중소기업 인력지원 특별법」제3조(적용범위)의 지원 제외업체 및 보조금 취지상 지원이 적합하지 않은 업종에 취업한 경우 ※ 부동산업 일반유흥 주점업 무도유흥 주점업 기타 갬블링업 등 - 단순노무 일시사역 인부 - 공무원 공공기관 공공단체 공기업 등 운영비·인건비를 지원받는 기관 - 정부 취업성공수당 청년 내일채움공제 강원특별자치도 안심공제 수령자 등 인건비성 지원사업 참여자 - 사업주의 직계존비속 배우자 및 형제자매인 경우,서류지참 후 군청 방문 - 적격여부 심사 후 선정 여부 통보,최초 신청시 ○ 2023년 청년 취업수당 지원 신청서「서식 1」 ○ 개인정보 수집·이용동의서(지원자)「서식 2」 ○ 개인정보 수집·이용동의서(사업장)「서식 3」 ○ 주민등록 등본 또는 초본 1부 ○ 근로계약서 사본 1부 ○ 4대보험 사업장 가입자 명부 1부 ○ 통장사본(본인명의 통장) 1부매월 청구 서류 (지원여부 확정 후 매월 23일까지 전월분 수당청구 ○ 청구서(도장지참) 1부 ○ 4대보험 가입내역확인서 1부 ○ 급여명세서 1부 ○ 임금입금확인증(거래내역증빙) 1부,상시,경제체육과 일자리육성팀 방문접수,-,-,고성군 경제체육과,김영석 주무관,033-680-3667,고성군,-,-,해당사항 없음,일자리
14,R2023110217761,강원,지자체,홍천군 청년일자리 근속장려금 지원사업,홍천군 거주 청년이 관내 소재 기업에 정규직으로 취업시 인센티브 지원하여 지역정착 유도 및 지역경제 활성화,1인당 300만원 3회 분할 지원(6개월 근속시 50 1년 100 2년 150),120명,2023.01.01.~2023.12.31.,2004,20240110-20240120,만 18세 ~ 39세,제한없음,재직자,제한없음,제한없음,홍천군에 주소를 두고 관내 중소기업에 정규직으로 신규 채용(전환)되어 6개월 이상 근속예정인 청년,홍천사랑카드(지역화폐)로 충전 지급,외국인(결혼이민자는 가능) 사업자등록이 있는 자 대학생 유사사업 참여자 등,홍천군 홈페이지에 접속하여 신청서 및 증빙서류양식 다운 후 군청 제출,모집공고 상 신청서류,군 자체심사 후 확정,https://www.hongcheon.go.kr/www/selectEminwonView.do?pageUnit=10&pageIndex=1&searchCnd=B_Subject&searchKrwd=%EA%B7%BC%EC%86%8D&key=278￢_ancmt_mgt_no=42710&ofr_pageSize=10,https://www.hongcheon.go.kr/www/selectEminwonView.do?pageUnit=10&pageIndex=1&searchCnd=B_Subject&searchKrwd=%EA%B7%BC%EC%86%8D&key=278￢_ancmt_mgt_no=42710&ofr_pageSize=10,-,홍천군 경제진흥과,신호정 주무관,033-430-2897,주관기관과 동일,-,-,-,일자리
15,R2023110217782,강원,지자체,청년농업인 육성 지원,청년농업인 안정적 영농기반 확보 등 효율적인 정착체계 구축을 위한 지원(팜쉐어 취업농),취업농(3백만원) : 농지임차비(팜쉐어) 법인취업 지원(작물재배 유통판매 등)창업기반 구축 지원(20~40백만원) : 농축산물 생산유통기반구축 제조가공 체험전시 체험관광 6차산업화 등,4명(취업농 팜쉐어),2023.1~12.,2004,-,만 18세 ~ 40세,제한없음,제한없음,제한없음,제한없음,도내 주소를 둔 거주자,취업농: 6개월 이상 고용근로 팜쉐어: 농지임차비 지원,농업경영외 사업체 경영자 기업체 등의 상근 근로자,시군청 홈페이지에 접속하여 신청서 및 증빙서류양식 다운 후 시군청 제출,시군청 홈페이지에 접속하여 신청서 및 증빙서류 양식 다운,(취업농) 시군별 사업신청 및 확정(2월) 보조금 교부(3월)(창업기반 구축) 시군별 사업신청 접수 서류검증 및 서면평가(3월) 도 발표평가 선정(4월) 보조금 교부 및 사업추진(4~12월),18개 시군청 혹은 농업기술센터,-,-,홍천군 농정과,오혜경 주무관,033-430-2674,주관기관과 동일,-,-,-,일자리
16,R2023110217755,강원,지자체,횡성군 맞춤형 청년창업 지원사업,횡성군 미취업 청년창업가에게 창업비 지원,창업비 1500만원 지원,4명,2023.01.~12.,2004,20230607-202030609,만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,횡성군 거주 미취업 예비 청년 창업가,-,해당없음,신청서 제출 후 대면심사,사업계획서 및 개인정보동의서,대면심사 후 바로 발표,방문신청,고시공고 - 횡성군청 (hsg.go.kr),-,횡성군청 경제정책과,박미 주무관,033-340-2060,횡성군청 경제정책과,-,-,-,일자리
17,R2023110217774,강원,지자체,횡성군 청년 도전지원사업,횡성군 구직단념 청년 취업의욕 고취 프로그램 운영 및 인센티브 제공,프로그램 운영 및 인센티브(월50만원/ 최대 300만원)지급,80명,2023.01.~2025.12.,2004,-,만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,구직단념 청년 및 특화기준에 맞는 청년,-,6개월 이내 취업교육 및 취업 등 참여하지 않은 자,신청서 제출 후 참여조건 심사,참여신청서,해당없음,방문신청,-,-,횡성군청 경제정책과,박미 주무관,033-340-2060,더크리에이티브 주식회사,박지혜 매니저,070-4159-7815,-,일자리
18,R2023110217739,강원,지자체,2023년 사회초년생 취업준비반(공무원반)운영,취업준비생들을 위해 전문 교육기관을 통한 공무원임용대비반및 자격증반 온라인 교육지원,취업준비생들을 위해 전문 교육기관을 통한 공무원임용 대비반 및 자격증반 온라인 교육지원,-,2023.1~12,2004,20230206-20230210,만 19세 이상,제한없음,제한없음,제한없음,제한없음,철원군에 주소를 둔 취업준비생,-,제한없음,-,-,-,https://www.cwg.go.kr/,-,-,철원군 인재육성과,김희순주무관,033-450-4178,철원군,-,-,-,일자리
19,R2023110217708,강원,지자체,일자리 지원센터 운영,일자리 지원센터 운영(구인.구직 등록 및 직업상담 취업알선 이력서 및 자기소개서 컨설팅 등의 취업관련 서비스 제공),해당없음,해당없음,연중,2001,상시,만 18세 ~ 73세,기타,미취업자,지역인재,제한없음,구직 및 구인을 원하는 자,-,해당없음,방문접수,구직신청서 신분증구인신청서 사업자등록증 채용담당자신분증 및 그외,해당없음,해당없음,동해시청 홈페이지(dh.go.kr),워크넷 사이트(www.work.go.kr),동해시 경제과,임효정 주무관,033-539-8954,동해시,해당없음,해당없음,-,일자리
20,R2023110217693,강원,지자체,고성군 자격증 취득수당 지원,관내 거주중인 청년의 취업을 위한 자격증 취득수당 지원으로 타지역 유출방지 및 인력난 해소에 기여,자격증 취득수당 신청 후 청구서류 제출시 분기별 25만원씩 4회 지급,신청 후 청구시 분기별 25만원씩 4회 지급,2023.1.~12,2001,상시,만 19세 ~ 39세,제한없음,제한없음,제한없음,제한없음,수당 신청 후 국가기술자격법 시행규칙(별표2)에 따르는 자격증을 취득하고 공고일~수당지급 만료시까지 주민등록상 고성군에 거주하는 청년,지원중 관외 전출시 지급 중단 국가기술자격증에 한해 지원,- 지원신청 이전 자격증을 취득한 경우 - (공고일~수당지급) 주민등록상 타지역 전출의 이력이 있는 경우 - 신청서 미제출 자격증 취득자 - 공기업 정부 및 지자체 공공기관과 그 소속기관 근로자,-,( 최초신청 시 ) ○ 2023년 청년 자격증 취득수당 신청서 ○ 개인정보 수집·이용동의서(지원자) ○ 주민등록 등본 또는 초본 1부 ( 자격증 취득 후 ) - 1/4분기 청구서류 ○ 청구서(도장지참) 1부 ○ 자격증 사본 1부. ○ 자격증 필기 및 실기 합격내역 1부 ○ 자격증 취득 비용 내역(교재구입비 교통비 강의비 응시료 등) 1부 ○ 통장사본(본인명의 통장) 1부 - 2/4분기 ~ 4/4분기 청구서류 ○ 청구서(도장지참) 1부 ○ 통장사본(본인명의) 1부,지원 및 청구시 심사 및 발표,경제체육과 일자리육성팀 방문접수,-,-,고성군 경제체육과,김영석 주무관,033-680-3667,고성군,-,-,해당사항 없음,일자리
21,R2023092217423,경기,지자체,하반기 미취업 청년 지원사업(ALL-Pass),성남시 미취업 청년들을 대상으로 구직활동에 필요한 자격증 시험 응시료와 수강료를 지원,"성남시 미취업 청년들을 대상으로 구직활동에 필요한 자격증 시험 응시료와 수강료를 지원
□ 지원내용: 1인 100만원 이내 실비 (자격증 시험 응시료 및 수강료)
 ※ 신청은 생애 1회만 가능하며 응시횟수 및 수강횟수는 제한없음
□ 지원분야: 어학 11종 한국사능력검정시험 기본심화 국가공인자격증 880종",null,null,2004,"1차: 2023년 9월 22일~10월 31일
2차: 2023년 11월 1일~12월 4일
※ 예산 소진시 조기종료",만 19세 ~ 34세,-,"‘시험응시일’ 또는 ‘수강시작일~수강완료일’ 기준 미취업자
 ※ ‘시험응시일’ 또는 ‘수강완료일’ 이 지난 이후에 취업한 경우에도 신청 가능
 ※ 시험응시일 기준: 2023년 1월 1일 이후 실시한 시험의 응시자
 ※ 수강완료일 기준: 2023년 1월 1일 이후 수강 시작하여 수강 완료한 자",저소득청년 자립준비청년 취업애로청년 최대 200만원 지원(1회 100만원 지원 후 (초과시) 다음연도 연속 신청 시 100만원 추가 지원),-,주소: 신청일 기준 1년 이상 성남시에 주민등록을 두고 있는 청년,null,"‘국민취업지원제도’ 등 중앙정부 타기관(지자체 학교 학원 등) 유사사업 참여시 지원 제외   
※ 단 본인부담액에 한하여 지원 가능","경기도일자리재단 통합접수시스템 잡아바(apply.jobaba.net) 내 신청서 작성 및 필수서류 업로드   
  ※ 제출서류는 선명하게 사진촬영 또는 스캔 후 업로드","□ 필수 제출서류 ※ 모든 서류는 주민등록번호 뒷자리 비공개 발급 및 제출
①신청서(온라인 입력)
②개인정보수집?이용?제공에 관한 동의서(온라인 입력)
③ 주민등록초본(주소 변동이력 포함)(온라인 입력)
  ☞ 잡아바 마이데이터 서비스 이용 동의 시 별도 첨부 불필요 / 정부24(www.gov.kr) / 행정복지센터 방문
④ 유의사항 확인서(공고문 붙임1)
⑤ 건강보험 자격득실확인서
  ☞ 국민건강보험공단(www.nhis.or.kr) / 정부24(www.gov.kr) / 국민건강보험 고객센터(1577-1000)
⑥ 사실증명서(사업자등록사실여부)
  ☞ 국세청홈택스(www.hometax.go.kr) 》 민원증명 》 사실증명신청 》 사실증명(사업자등록사실여부)/ 정부24(www.gov.kr) / 세무서 방문
⑦ 본인명의 통장사본(또는 계좌개설확인서)
  ☞ 해당은행 홈페이지 발급(온라인)
⑧ 결제 영수증 일체(또는 이체확인증/카드결제내역)

□ (해당자) 필수 제출서류
① (응시자) 응시확인서(또는 성적표) ※ 접수확인서?수험표 불인정
② (오프라인 수강자) 수강확인서(공고문 붙임2)  ※ 학원장 직인 날인 필수
③-⑴ (온라인 수강자) 수강확인서(공고문 붙임2)  ※ 학원장 직인 날인란 미기재
③-⑵ (온라인 수강자) 마이페이지(내정보) 캡처본
③-⑶ (온라인 수강자) 수강진도율 90% 이상 캡처본
④(저소득청년) 관련 증빙서(기초생활수급자?차상위계층?한부모가족)
⑤ (자립준비청년) 보호종료 확인서   ☞ 행정복지센터 방문
⑥ (취업애로청년) 구직등록 확인증   ☞ 워크넷(www.work.go.kr) 발급
⑦ (대리수령자) 위임장(공고문 붙임3) 관계증빙서(가족관계증명서 등) 통장사본",신청자 개별 알림톡 발송(선정/미선정),https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=2611,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=2611,null,성남시청,윤지희 주무관,031-729-8504,성남시청,null,null,null,일자리
22,R2023091517284,부산,지자체,수영구 청년 및 신혼부부 주거자금 대출이자 지원사업,취업 결혼 출산 등 미래 준비에 대한 디딤돌 역할과 청년층 삶의 질 제고 및 안정된 정주여건을 조성하기 위한 주거자금 대출이자 지원 사업임,구입 전월세 목적으로 금융권 대출을 실행한 대출 잔액의 1% 가구당 100만 원 이내에서 지원(매년 1회 신청·접수 회차당 50만 원까지 지원),100가구,2023. 8. 21. ~ 2023. 9. 8. 18시까지 접수,2004,2023.08.21.~2023.09.08. 18시까지,제한없음,-,-,-,-,구입 전월세 목적으로 금융권 대출을 실행한 청년 및 신혼부부 가구① 청년 유형 - 미혼인 19~34세의 청년 또는 혼인신고 7년 초과인 기혼 청년 - 연속해서 1년 이상 수영구에 주민등록 - 대출을 실행한 주택의 주소지에 등본상 거주 - 2022년 소득금액증명원 기준 연 소득 4천만 원 이하 - 전국 기준 무주택자 (주택 구입의 경우 수영구 내 1주택(거주용) 허용) - 2022. 12. 31. 이전 '주택 임차 전세' 등 주거 자금 대출을 받은 자② 신혼부부 유형 - 부부 중 신청자 19~34세의 청년 (혼인신고 7년 이내) - 부부 모두 연속해서 1년 이상 수영구에 주민등록 - 대출을 실행한 주택의 주소지에 등본상 부부 중 한 명 이상 거주 - 2022년 소득금액증명원 기준 연 소득 7천만 원 이하 (부부합산) - 2022. 12. 31. 이전 '주택 임차 전세' 등 주거 자금 대출을 받은 자,-,·국민기초생활수급자(생계 의료 주거급여 수급자)·대출 용도가 주거자금이 아닌 자(일반 신용대출 마이너스대출 등)·공공임대주택(국민임대 영구임대 매입임대 전세임대 행복주택 등) 거주자·건축물대장상 불법건축물 등 주택이 아닌 곳(예외 : 주거용 오피스텔)·신청인 및 배우자의 직계존비속(신청인의 배우자 포함)과 주택 거래 계약을 체결한 경우·본인 명의의 통장 입출금 거래가 불가능한 자·기타 사업 취지에 부합하지 않다고 판단되는 경우,-,수영구청 청년포털 홈페이지 공고문 참조,-,-,-,-,부산시 수영구청 일자리경제과,박태훈,051-610-4827,수영구청 일자리경제과,-,-,-,주거
